663996152958877696,PCD   Jaymes,ya un pote il a trebucher vec on dans la poche arriere on entend crack il dit seigneur fait que ce soit mon p,10/11/2015,iphone6,0
663995498379026432,JACQUE,etui cuir iphone ribal bleue housse apple flip,10/11/2015,iphone6,4
663991002202374144,tout pour iphone,oneplus vs hc one h,10/11/2015,iphone6,2
663989922383183872,dogpunk,a faie oune achet le ao t pafai a a vendre avec facture et garantie ugen bisn,10/11/2015,iphone6,2
663985681945878528,AppYouNeed,ipad pro date de sortie le novembre en france,10/11/2015,iphone6,4
663983985194835968,Swoosh,ya un pote il a trebucher vec on dans la poche arriere on entend crack il dit seigneur fait que ce soit mon p,10/11/2015,iphone6,2
663982351555268608,shishikoma,debut spec,10/11/2015,iphone6,2
663982042007212033,Smart Mobile Hub,oneplus vs hc one,10/11/2015,iphone6,2
663977807928774656,black money,ya un pote il a trebucher vec on dans la poche arriere on entend crack il dit seigneur fait que ce soit mon p,10/11/2015,iphone6,0
663977431632650240,jamila,ya un pote il a trebucher vec on dans la poche arriere on entend crack il dit seigneur fait que ce soit mon p,10/11/2015,iphone6,0
663975954436513792,Guillaum Dchr,ya un pote il a trebucher vec on dans la poche arriere on entend crack il dit seigneur fait que ce soit mon p,10/11/2015,iphone6,0
663972362954649600,"Gena ",a noel je veux l je veux une place pour le concert de drake a paris,10/11/2015,iphone6,4
663972295321497600,Mr Intimement,a faie oune achet le ao t pafai a a vendre avec facture et garantie ugen bisn,10/11/2015,iphone6,4
663971866814644225,JACQUE,etui cuir iphone james housse apple flip,10/11/2015,iphone6,4
663971459950354432,sab,ya un pote il a trebucher vec on dans la poche arriere on entend crack il dit seigneur fait que ce soit mon p,10/11/2015,iphone6,0
663790424503513088,MokkoW,fredixe fr sympas les pistes cyclables lille vlille foutage de g e ou pas,09/11/2015,vlille,4
663783528941944832,"F ",sympas les pistes cyclables lille vlille foutage de g e ou pas,09/11/2015,vlille,4
663636252135133185,Ludwig Wultz,gurdiiil ah en plus joli ton v lo est p t ou vlille,09/11/2015,vlille,4
662681118160896000,W o,c est combien vlille lille,06/11/2015,vlille,2
